item_id,item_name,category_name
i1,item-1,cate-c
i2,item-2,cate-c
i3,item-3,cate-c
i4,item-4,cate-c
i5,item-5,cate-c
i6,item-6,cate-c
i7,item-7,cate-c
i8,item-8,cate-c
i9,item-9,cate-c
i10,item-10,cate-c
i11,item-11,cate-c
i12,item-12,cate-c
i13,item-13,cate-c
i14,item-14,cate-c
i15,item-15,cate-c
i16,item-16,cate-c
i17,item-17,cate-c
i18,item-18,cate-c
i19,item-19,cate-c
i20,item-20,cate-c
i21,item-21,cate-c
i22,item-22,cate-c
i23,item-23,cate-c
i24,item-24,cate-c
i25,item-25,cate-c
i26,item-26,cate-c
i27,item-27,cate-c
i28,item-28,cate-c
i29,item-29,cate-c
i30,item-30,cate-c
i31,item-31,cate-c
i32,item-32,cate-c
i33,item-33,cate-c
i34,item-34,cate-c
i35,item-35,cate-c
i36,item-36,cate-c
i37,item-37,cate-c
i38,item-38,cate-c
i39,item-39,cate-c
i40,item-40,cate-c
i41,item-41,cate-c
i42,item-42,cate-c
i43,item-43,cate-c
i44,item-44,cate-c
i45,item-45,cate-c
i46,item-46,cate-c
i47,item-47,cate-c
i48,item-48,cate-c
i49,item-49,cate-c
i50,item-50,cate-c
i51,item-51,cate-c
i52,item-52,cate-c
i53,item-53,cate-c
i54,item-54,cate-c
i55,item-55,cate-c
i56,item-56,cate-c
i57,item-57,cate-c
i58,item-58,cate-c
i59,item-59,cate-c
i60,item-60,cate-c
i61,item-61,cate-c
i62,item-62,cate-c
i63,item-63,cate-c
i64,item-64,cate-c
i65,item-65,cate-c
i66,item-66,cate-c
i67,item-67,cate-c
i68,item-68,cate-c
i69,item-69,cate-c
i70,item-70,cate-c
i71,item-71,cate-c
i72,item-72,cate-c
i73,item-73,cate-c
i74,item-74,cate-c
i75,item-75,cate-c
i76,item-76,cate-c
i77,item-77,cate-c
i78,item-78,cate-c
i79,item-79,cate-c
i80,item-80,cate-c
i81,item-81,cate-c
i82,item-82,cate-c
i83,item-83,cate-c
i84,item-84,cate-c
i85,item-85,cate-c
i86,item-86,cate-c
i87,item-87,cate-c
i88,item-88,cate-c
i89,item-89,cate-c
i90,item-90,cate-c
i91,item-91,cate-c
i92,item-92,cate-c
i93,item-93,cate-c
i94,item-94,cate-c
i95,item-95,cate-c
i96,item-96,cate-c
i97,item-97,cate-c
i98,item-98,cate-c
i99,item-99,cate-c
i100,item-100,cate-c
i101,item-101,cate-c
i102,item-102,cate-c
i103,item-103,cate-c
i104,item-104,cate-c
i105,item-105,cate-c
i106,item-106,cate-c
i107,item-107,cate-c
i108,item-108,cate-c
i109,item-109,cate-c
i110,item-110,cate-c
i111,item-111,cate-c
i112,item-112,cate-c
i113,item-113,cate-c
i114,item-114,cate-c
i115,item-115,cate-c
i116,item-116,cate-c
i117,item-117,cate-c
i118,item-118,cate-c
i119,item-119,cate-c
i120,item-120,cate-c
i121,item-121,cate-c
i122,item-122,cate-c
i123,item-123,cate-c
i124,item-124,cate-c
i125,item-125,cate-c
i126,item-126,cate-c
i127,item-127,cate-c
i128,item-128,cate-c
i129,item-129,cate-c
i130,item-130,cate-c
i131,item-131,cate-c
i132,item-132,cate-c
i133,item-133,cate-c
i134,item-134,cate-c
i135,item-135,cate-c
i136,item-136,cate-c
i137,item-137,cate-c
i138,item-138,cate-c
i139,item-139,cate-c
i140,item-140,cate-c
i141,item-141,cate-c
i142,item-142,cate-c
i143,item-143,cate-c
i144,item-144,cate-c
i145,item-145,cate-c
i146,item-146,cate-c
i147,item-147,cate-c
i148,item-148,cate-c
i149,item-149,cate-c
i150,item-150,cate-c
i151,item-151,cate-c
i152,item-152,cate-c
i153,item-153,cate-c
i154,item-154,cate-c
i155,item-155,cate-c
i156,item-156,cate-c
i157,item-157,cate-c
i158,item-158,cate-c
i159,item-159,cate-c
i160,item-160,cate-c
i161,item-161,cate-c
i162,item-162,cate-b
i163,item-163,cate-b
i164,item-164,cate-b
i165,item-165,cate-b
i166,item-166,cate-b
i167,item-167,cate-b
i168,item-168,cate-b
i169,item-169,cate-b
i170,item-170,cate-b
i171,item-171,cate-b
i172,item-172,cate-b
i173,item-173,cate-b
i174,item-174,cate-b
